symbol,entry_time,exit_time,holding_days,shares,entry_price,exit_price,entry_cost,exit_cost,gross_pnl,net_pnl,return_pct,is_win
RELIANCE,2023-08-22 03:45:00,2023-09-12 03:45:00,21,38,1259.08,1240.88,71.76,70.74,-691.6,-834.09,-0.0145,False
RELIANCE,2023-08-29 03:45:00,2023-09-12 03:45:00,14,5,1226.64,1240.88,9.2,9.31,71.21,52.7,0.0116,True
HDFCBANK,2023-08-16 03:45:00,2023-09-20 03:45:00,35,8,791.95,799.1,9.5,9.59,57.24,38.14,0.009,True
ICICIBANK,2023-09-05 03:45:00,2023-09-20 03:45:00,15,3,964.58,981.06,4.34,4.42,49.43,40.68,0.0171,True
INFY,2023-08-22 03:45:00,2023-09-20 03:45:00,29,5,1405.4,1475.46,10.54,11.07,350.3,328.69,0.0499,True
TCS,2023-09-12 03:45:00,2023-09-20 03:45:00,8,15,3493.75,3578.21,78.6,80.52,1266.96,1107.84,0.0242,True
ICICIBANK,2023-09-05 03:45:00,2023-09-26 03:45:00,21,213,964.58,958.47,308.13,306.28,-1301.75,-1916.16,-0.0063,False
ICICIBANK,2023-09-12 03:45:00,2023-09-26 03:45:00,14,3,990.6,958.47,4.46,4.31,-96.37,-105.14,-0.0324,False
INFY,2023-08-22 03:45:00,2023-09-26 03:45:00,35,248,1405.4,1478.41,522.72,550.06,18106.02,17033.24,0.0519,True
HDFCBANK,2023-08-16 03:45:00,2023-10-04 03:45:00,49,1,791.95,747.13,1.19,1.12,-44.82,-47.13,-0.0566,False
HDFCBANK,2023-08-16 03:45:00,2023-10-10 03:45:00,55,324,791.95,759.89,384.82,369.37,-10384.48,-11138.68,-0.0405,False
TCS,2023-10-04 03:45:00,2023-10-10 03:45:00,6,40,3488.04,3638.23,209.25,218.33,6007.47,5579.9,0.0431,True
HDFCBANK,2023-08-16 03:45:00,2023-10-17 03:45:00,62,115,791.95,777.49,136.59,134.14,-1662.87,-1933.59,-0.0183,False
HDFCBANK,2023-08-22 03:45:00,2023-10-17 03:45:00,56,5,798.57,777.49,5.99,5.83,-105.44,-117.26,-0.0264,False
HDFCBANK,2023-09-05 03:45:00,2023-10-17 03:45:00,42,6,794.6,777.49,7.15,7.0,-102.67,-116.82,-0.0215,False
HDFCBANK,2023-09-26 03:45:00,2023-10-17 03:45:00,21,23,762.88,777.49,26.32,26.83,335.91,282.77,0.0191,True
ICICIBANK,2023-10-04 03:45:00,2023-10-17 03:45:00,13,139,935.47,954.92,195.01,199.13,2704.22,2310.07,0.0208,True
ICICIBANK,2023-10-10 03:45:00,2023-10-17 03:45:00,7,153,940.87,954.92,215.89,219.19,2149.97,1714.89,0.0149,True
RELIANCE,2023-10-10 03:45:00,2023-10-17 03:45:00,7,103,1153.85,1177.41,178.24,181.94,2426.61,2066.43,0.0204,True
TCS,2023-10-04 03:45:00,2023-10-17 03:45:00,13,62,3488.04,3528.24,324.33,328.18,2491.89,1839.38,0.0115,True
INFY,2023-10-10 03:45:00,2023-10-25 03:45:00,15,104,1484.64,1398.3,231.57,218.17,-8979.51,-9429.25,-0.0582,False
RELIANCE,2023-10-25 03:45:00,2023-10-31 03:45:00,6,129,1125.59,1163.42,217.76,225.16,4880.13,4437.21,0.0336,True
ICICIBANK,2023-10-25 03:45:00,2023-11-07 03:45:00,13,2,926.51,943.13,2.78,2.83,33.23,27.62,0.0179,True
INFY,2023-10-10 03:45:00,2023-11-07 03:45:00,28,71,1484.64,1399.3,158.09,149.05,-6059.28,-6366.42,-0.0575,False
INFY,2023-10-17 03:45:00,2023-11-07 03:45:00,21,78,1440.97,1399.3,168.57,163.75,-3250.27,-3582.58,-0.0289,False
