timestamp,open,high,low,close,volume,datetime
1788821700000,78942.01,78964.49,78887.93,78952.19,16.08578,2026-09-07 22:55:00+00:00
1788822000000,78952.18,79020.0,78938.38,78982.66,21.55749,2026-09-07 23:00:00+00:00
1788822300000,78982.66,79166.0,78964.0,79124.01,56.05731,2026-09-07 23:05:00+00:00
1788822600000,79124.01,79151.73,79104.0,79132.01,27.13163,2026-09-07 23:10:00+00:00
1788822900000,79132.0,79140.33,79066.02,79117.88,33.64697,2026-09-07 23:15:00+00:00
1788823200000,79117.88,79117.89,78969.99,78996.01,16.29824,2026-09-07 23:20:00+00:00
1788823500000,78996.01,79034.0,78996.0,79013.0,26.12486,2026-09-07 23:25:00+00:00
1788823800000,79012.99,79023.99,78988.52,79002.0,9.32814,2026-09-07 23:30:00+00:00
1788824100000,79002.01,79050.0,79002.0,79041.93,20.77355,2026-09-07 23:35:00+00:00
1788824400000,79041.93,79120.0,79041.92,79119.99,15.55259,2026-09-07 23:40:00+00:00
1788824700000,79119.99,79210.0,79107.95,79189.84,15.83763,2026-09-07 23:45:00+00:00
1788825000000,79189.84,79198.0,79148.2,79150.0,21.83881,2026-09-07 23:50:00+00:00
1788825300000,79150.01,79160.0,79112.0,79112.01,28.69269,2026-09-07 23:55:00+00:00
1788825600000,79112.0,79114.0,79014.79,79054.0,38.24926,2026-09-08 00:00:00+00:00
1788825900000,79054.0,79106.0,79016.0,79050.56,38.01303,2026-09-08 00:05:00+00:00
1788826200000,79050.56,79070.37,78986.14,79053.78,46.64586,2026-09-08 00:10:00+00:00
1788826500000,79053.79,79146.0,79022.9,79054.0,37.44779,2026-09-08 00:15:00+00:00
1788826800000,79054.01,79069.46,78972.51,79038.0,28.47813,2026-09-08 00:20:00+00:00
1788827100000,79038.0,79076.69,79004.0,79004.0,56.12411,2026-09-08 00:25:00+00:00
1788827400000,79004.01,79169.55,78983.57,79169.54,70.59365,2026-09-08 00:30:00+00:00
1788827700000,79169.55,79240.0,79169.54,79226.0,32.73339,2026-09-08 00:35:00+00:00
1788828000000,79226.0,79280.0,79196.28,79218.0,28.15672,2026-09-08 00:40:00+00:00
1788828300000,79218.0,79279.98,79202.0,79279.97,16.95516,2026-09-08 00:45:00+00:00
1788828600000,79279.97,79305.98,79258.24,79262.0,23.65335,2026-09-08 00:50:00+00:00
1788828900000,79262.0,79313.09,79262.0,79313.08,28.02869,2026-09-08 00:55:00+00:00
1788829200000,79313.09,79323.72,79288.06,79306.53,27.12488,2026-09-08 01:00:00+00:00
1788829500000,79306.54,79355.18,79266.48,79350.0,35.21207,2026-09-08 01:05:00+00:00
1788829800000,79350.0,79370.0,79298.0,79298.0,31.05295,2026-09-08 01:10:00+00:00
1788830100000,79298.01,79352.0,79268.0,79330.0,33.38693,2026-09-08 01:15:00+00:00
1788830400000,79330.0,79463.06,79317.29,79380.0,44.98212,2026-09-08 01:20:00+00:00
1788830700000,79380.01,79438.02,79378.0,79397.99,21.8121,2026-09-08 01:25:00+00:00
1788831000000,79398.0,79398.0,79317.53,79319.31,35.81496,2026-09-08 01:30:00+00:00
1788831300000,79319.31,79368.0,79317.53,79324.79,38.79897,2026-09-08 01:35:00+00:00
1788831600000,79324.78,79330.0,79307.07,79319.66,32.78439,2026-09-08 01:40:00+00:00
1788831900000,79319.66,79365.34,79302.07,79365.33,42.92137,2026-09-08 01:45:00+00:00
1788832200000,79365.33,79389.26,79326.51,79389.25,48.20114,2026-09-08 01:50:00+00:00
1788832500000,79389.26,79456.82,79372.28,79441.99,62.72515,2026-09-08 01:55:00+00:00
1788832800000,79441.98,79441.99,79384.0,79384.01,21.31443,2026-09-08 02:00:00+00:00
1788833100000,79384.0,79384.01,79330.0,79330.01,28.77138,2026-09-08 02:05:00+00:00
1788833400000,79330.01,79344.36,79254.37,79339.24,65.42776,2026-09-08 02:10:00+00:00
1788833700000,79339.24,79348.87,79285.43,79308.0,60.05706,2026-09-08 02:15:00+00:00
1788834000000,79307.99,79485.0,79294.0,79472.01,77.99742,2026-09-08 02:20:00+00:00
1788834300000,79472.0,79485.0,79254.0,79265.61,61.01511,2026-09-08 02:25:00+00:00
1788834600000,79265.61,79268.75,79194.0,79216.0,42.63084,2026-09-08 02:30:00+00:00
1788834900000,79215.99,79220.0,79162.71,79172.0,31.61699,2026-09-08 02:35:00+00:00
1788835200000,79172.01,79172.01,79100.0,79134.01,32.45332,2026-09-08 02:40:00+00:00
1788835500000,79134.01,79149.57,79098.0,79117.36,66.02638,2026-09-08 02:45:00+00:00
1788835800000,79117.37,79117.37,78984.0,78984.01,70.92121,2026-09-08 02:50:00+00:00
1788836100000,78984.01,79014.0,78930.0,78930.01,43.28081,2026-09-08 02:55:00+00:00
1788836400000,78930.01,79002.0,78876.62,78911.98,57.81758,2026-09-08 03:00:00+00:00
1788836700000,78911.97,78989.26,78911.97,78989.26,37.80398,2026-09-08 03:05:00+00:00
1788837000000,78989.25,78991.45,78900.3,78921.17,30.20332,2026-09-08 03:10:00+00:00
1788837300000,78921.16,78945.7,78868.34,78868.35,30.45252,2026-09-08 03:15:00+00:00
1788837600000,78868.34,78877.7,78725.1,78797.69,59.8252,2026-09-08 03:20:00+00:00
1788837900000,78797.69,78839.23,78736.64,78773.36,77.61784,2026-09-08 03:25:00+00:00
1788838200000,78773.36,78970.0,78763.2,78918.01,68.39152,2026-09-08 03:30:00+00:00
1788838500000,78918.0,78990.0,78895.47,78925.37,167.3785,2026-09-08 03:35:00+00:00
1788838800000,78925.36,78985.21,78905.96,78949.23,141.35214,2026-09-08 03:40:00+00:00
1788839100000,78949.24,78951.98,78868.34,78911.13,60.81697,2026-09-08 03:45:00+00:00
1788839400000,78911.14,78949.74,78907.44,78907.44,36.34109,2026-09-08 03:50:00+00:00
1788839700000,78907.44,78924.0,78906.27,78906.28,45.22294,2026-09-08 03:55:00+00:00
1788840000000,78906.27,78929.24,78896.49,78896.72,39.98277,2026-09-08 04:00:00+00:00
1788840300000,78896.73,78909.17,78846.57,78863.61,68.76187,2026-09-08 04:05:00+00:00
1788840600000,78863.6,78867.98,78787.1,78812.11,49.96156,2026-09-08 04:10:00+00:00
1788840900000,78812.1,78855.01,78777.02,78853.83,51.4526,2026-09-08 04:15:00+00:00
1788841200000,78853.83,78860.35,78780.26,78780.26,37.49927,2026-09-08 04:20:00+00:00
1788841500000,78780.26,78843.97,78762.0,78815.02,45.63894,2026-09-08 04:25:00+00:00
1788841800000,78815.01,78870.87,78810.36,78829.82,37.33024,2026-09-08 04:30:00+00:00
1788842100000,78829.81,78838.0,78788.0,78828.88,41.16287,2026-09-08 04:35:00+00:00
1788842400000,78828.88,78840.0,78738.98,78781.98,58.1929,2026-09-08 04:40:00+00:00
1788842700000,78781.98,78814.0,78770.58,78800.01,24.87891,2026-09-08 04:45:00+00:00
1788843000000,78800.0,78814.0,78715.95,78731.7,40.18354,2026-09-08 04:50:00+00:00
